lex,antonym
cenogenesis,palingenesis
decrement,increment
devolution,evolution
demand,supply
disinflation,inflation
development,nondevelopment
inactivation,activation
inflationary_spiral,deflationary_spiral
inflow,outflow
influx,efflux
irreversible_process,reversible_process
parallel_operation,serial_operation
sink,source
deficit,lead
aliquot,aliquant
connectedness,unconnectedness
relevance,irrelevance
applicability,inapplicability
relatedness,unrelatedness
transitivity,intransitivity
active_voice,passive_voice
affinity,consanguinity
synchronism,asynchronism
synchronization,desynchronization
synchronizing,desynchronizing
former,latter
convex_polygon,concave_polygon
curve,straight_line
oblique_triangle,right_triangle
parallelogram,trapezium
reentrant_angle,salient_angle
right_angle,oblique_angle
proportion,disproportion
utopia,dystopia
acceptance,rejection
disequilibrium,equilibrium
exclusion,inclusion
stigmatism,astigmatism
high_status,low_status
back_burner,front_burner
being,nonbeing
existence,nonexistence
genuineness,spuriousness
hereness,thereness
allopatry,sympatry
falsity,truth
endogamy,exogamy
employment,unemployment
order,disorder
peace,war
immunocompetence,immunodeficiency
hot_war,cold_war
light,dark
unhappiness,happiness
innocence,guilt
balance,imbalance
motion,motionlessness
action,inaction
drunkenness,soberness
wakefulness,sleepiness
hypersomnia,insomnia
estrus,anestrus
hypercapnia,hypocapnia
hyperthermia,hypothermia
impotence,potence
impotency,potency
infertility,fertility
good_health,ill_health
functional_disorder,organic_disorder
illness,wellness
unwellness,wellness
hyperparathyroidism,hypoparathyroidism
hypertension,hypotension
hyperthyroidism,hypothyroidism
hypervolemia,hypovolemia
hypercalcemia,hypocalcemia
hyperkalemia,hypokalemia
hypernatremia,hyponatremia
hyperpigmentation,hypopigmentation
hyperglycemia,hypoglycemia
mental_health,mental_illness
sanity,insanity
neurotic_depression,psychotic_depression
depression,elation
low_spirits,high
separation,union
discontinuity,continuity
disconnectedness,connectedness
incoherence,coherence
association,disassociation
improvement,decline
maturity,immaturity
ripeness,greenness
prominence,obscurity
fame,infamy
esteem,disesteem
repute,disrepute
comfort,discomfort
well-being,ill-being
fullness,emptiness
hollowness,solidity
perfection,imperfection
completeness,incompleteness
valgus,varus
good_fortune,misfortune
good_luck,bad_luck
solvency,insolvency
possibility,impossibility
purity,impurity
wealth,poverty
sanitariness,unsanitariness
cleanness,dirtiness
orderliness,disorderliness
normality,abnormality
typicality,atypicality
biodegradable_pollution,nonbiodegradable_pollution
anticyclone,cyclone
good_weather,bad_weather
unsusceptibility,susceptibility
wetness,dryness
safety,danger
security,insecurity
secureness,insecureness
tonicity,atonicity
myopia,hyperopia
homozygosity,heterozygosity
hypertonia,hypotonia
hypertonus,hypotonus
hypertonicity,hypotonicity
leaded_gasoline,unleaded_gasoline
activator,inhibitor
catalyst,anticatalyst
conductor,insulator
exon,intron
high_explosive,low_explosive
hard_water,soft_water
saltwater,fresh_water
endotoxin,exotoxin
downtime,uptime
work_time,time_off
past,future
workday,rest_day
day,night
sunrise,sunset
summer_solstice,winter_solstice
vernal_equinox,autumnal_equinox
regulation_time,overtime
high_season,off-season
rainy_season,dry_season
top,bottom
