lex,antonym
responsive,unresponsive
restrained,unrestrained
restricted,unrestricted
restrictive,unrestrictive
retentive,unretentive
reticulate,nonreticulate
retractile,nonretractile
reflective,nonreflective
reflected,unreflected
reverberant,unreverberant
reverent,irreverent
revived,unrevived
awakened,unawakened
awed,unawed
revolutionary,counterrevolutionary
rewarding,unrewarding
rhetorical,unrhetorical
rhythmical,unrhythmical
ribbed,ribless
rich,poor
moneyed,moneyless
solvent,insolvent
lean,rich
rimmed,rimless
handed,handless
handled,handleless
right-handed,left-handed
ambidextrous,right-handed
left,center
horned,hornless
righteous,unrighteous
robust,frail
round,square
rounded,angular
oblate,prolate
rural,urban
rusted,rustless
holy,unholy
sacred,profane
sadistic,masochistic
safe,dangerous
out,safe
salable,unsalable
same,different
other,same
similar,dissimilar
sane,insane
satiate,insatiate
sarcastic,unsarcastic
satisfactory,unsatisfactory
scalable,unscalable
scholarly,unscholarly
scientific,unscientific
scrupulous,unscrupulous
conscientious,unconscientious
sealed,unsealed
wrapped,unwrapped
seaworthy,unseaworthy
airworthy,unairworthy
concealed,unconcealed
concealing,revealing
sectarian,nonsectarian
secure,insecure
fastened,unfastened
insured,uninsured
seductive,unseductive
selfish,unselfish
senior,junior
sensational,unsensational
sensible,insensible
sensitive,insensitive
sensitizing,desensitizing
sensory,extrasensory
sent,unsent
separate,joint
sanitary,unsanitary
septic,antiseptic
germfree,germy
adulterating,purifying
serious,frivolous
playful,unplayful
selected,unselected
serviceable,unserviceable
resident,nonresident
settled,unsettled
migratory,nonmigratory
sexy,unsexy
sexual,asexual
castrated,uncastrated
aphrodisiac,anaphrodisiac
estrous,anestrous
shapely,unshapely
breasted,breastless
formed,unformed
shared,unshared
shaven,unshaven
sheared,unsheared
sheathed,unsheathed
shockable,unshockable
shod,unshod
calced,discalced
nearsighted,farsighted
shrinkable,unshrinkable
sighted,blind
signed,unsigned
significant,insignificant
nonsignificant,significant
silenced,unsilenced
simple,compound
complex,simple
sincere,insincere
singular,plural
cardinal,ordinal
scripted,unscripted
sinkable,unsinkable
single,multiple
double,single
multiple-choice,true-false
single-lane,multilane
sized,unsized
