axis,count
lined<-v->unlined,7
listed<-v->unlisted,1
literal<-v->figurative,14
literate<-v->illiterate,5
recorded<-v->live,8
livable<-v->unlivable,1
liveried<-v->unliveried,0
loaded<-v->unloaded,11
loamy<-v->loamless,0
epidemic<-v->endemic,5
ecdemic<-v->endemic,0
gloved<-v->gloveless,1
hatted<-v->hatless,2
guided<-v->unguided,0
legged<-v->legless,1
logical<-v->illogical,11
extended<-v->unextended,5
mini<-v->midi,0
maxi<-v->mini,0
lossy<-v->lossless,0
long<-v->short,299
lengthwise<-v->crosswise,0
lidded<-v->lidless,0
constricted<-v->unconstricted,1
lost<-v->found,19
saved<-v->lost,19
won<-v->lost,18
loud<-v->soft,88
piano<-v->forte,0
hardened<-v->soft,38
lovable<-v->hateful,4
liked<-v->disliked,0
